Index,State,Show
0,Alabama,Riverdale
1,Alaska,Iron Fist
2,Arizona,The End of the F***ing World
3,Arkansas,Riverdale
4,California,Jane the Virgin
5,Colorado,Stranger Things
6,Connecticut,13 Reasons Why
7,Delaware,Iron Fist
8,Florida,Daredevil
9,Georgia,Luke Cage
10,Hawaii,Iron Fist
11,Idaho,Stranger Things
12,Illinois,13 Reasons Why
13,Indiana,The Defenders
14,Iowa,The End of the F***ing World
15,Kansas,Orange Is the New Black
16,Kentucky,Daredevil
17,Louisiana,Orange Is the New Black
18,Maine,The End of the F***ing World
19,Maryland,Luke Cage
20,Massachusetts,Peaky Blinders
21,Michigan,Orange Is the New Black
22,Minnesota,Making a Murderer
23,Mississippi,13 Reasons Why
24,Missouri,Ozark
25,Montana,Dark
26,Nebraska,Stranger Things
27,Nevada,The End of the F***ing World
28,New Hampshire,The End of the F***ing World
29,New Jersey,13 Reasons Why
30,New Mexico,Breaking Bad/Better Call Saul
31,New York,Daredevil
32,North Carolina,13 Reasons Why
33,North Dakota,Gilmore Girls: A Year in the Life
34,Ohio,13 Reasons Why
35,Oklahoma,Orange Is the New Black
36,Oregon,Disenchantment
37,Pennsylvania,Mindhunter
38,Rhode Island,13 Reasons Why
39,South Carolina,The End of the F***ing World
40,South Dakota,Daredevil
41,Tennessee,House of Cards
42,Texas,Jane the Virgin
43,Utah,Stranger Things
44,Vermont,Comedians in Cars Getting Coffee
45,Virginia,Daredevil
46,Washington,Altered Carbon
47,DC,***16-way tie***
48,West Virginia,Orange Is the New Black
49,Wisconsin,Making a Murderer
50,Wyoming,Lost in Space
