,State,Show,State_abbrev,latitude,longitude
0,Alabama,Riverdale,AL,32.3182,-86.9023
1,Alaska,Iron Fist,AK,63.5888,-154.4931
2,Arizona,The End of the F***ing World,AZ,34.0489,-111.0937
3,Arkansas,Riverdale,AR,35.201,-91.8318
4,California,Jane the Virgin,CA,36.7783,-119.4179
5,Colorado,Stranger Things,CO,39.5501,-105.7821
6,Connecticut,13 Reasons Why,CT,41.6032,-73.0877
7,Delaware,Iron Fist,DE,38.9108,-75.5277
8,Florida,Daredevil,FL,27.6648,-81.5158
9,Georgia,Luke Cage,GA,32.1574,-82.9071
10,Hawaii,Iron Fist,HI,19.8987,-155.6659
11,Idaho,Stranger Things,ID,44.0682,-114.742
12,Illinois,13 Reasons Why,IL,40.6331,-89.3985
13,Indiana,The Defenders,IN,40.5512,-85.6024
14,Iowa,The End of the F***ing World,IA,41.878,-93.0977
15,Kansas,Orange Is the New Black,KS,39.0119,-98.4842
16,Kentucky,Daredevil,KY,37.8393,-84.27
17,Louisiana,Orange Is the New Black,LA,31.2448,-92.145
18,Maine,The End of the F***ing World,ME,45.2538,-69.4455
19,Maryland,Luke Cage,MD,39.0458,-76.6413
20,Massachusetts,Peaky Blinders,MA,42.4072,-71.3824
21,Michigan,Orange Is the New Black,MI,44.3148,-85.6024
22,Minnesota,Making a Murderer,MN,46.7296,-94.6859
23,Mississippi,13 Reasons Why,MS,32.3547,-89.3985
24,Missouri,Ozark,MO,37.9643,-91.8318
25,Montana,Dark,MT,46.8797,-110.3626
26,Nebraska,Stranger Things,NE,41.4925,-99.9018
27,Nevada,The End of the F***ing World,NV,38.8026,-116.4194
28,New Hampshire,The End of the F***ing World,NH,43.1939,-71.5724
29,New Jersey,13 Reasons Why,NJ,40.0583,-74.4057
30,New Mexico,Breaking Bad/Better Call Saul,NM,34.9727,-105.0324
31,New York,Daredevil,NY,43.2994,-74.2179
32,North Carolina,13 Reasons Why,NC,35.7596,-79.0193
33,North Dakota,Gilmore Girls: A Year in the Life,ND,47.5515,-101.00200000000001
34,Ohio,13 Reasons Why,OH,40.4173,-82.9071
35,Oklahoma,Orange Is the New Black,OK,35.0078,-97.0929
36,Oregon,Disenchantment,OR,43.8041,-120.5542
37,Pennsylvania,Mindhunter,PA,41.2033,-77.1945
38,Rhode Island,13 Reasons Why,RI,41.5801,-71.4774
39,South Carolina,The End of the F***ing World,SC,33.8361,-81.1637
40,South Dakota,Daredevil,SD,43.9695,-99.9018
41,Tennessee,House of Cards,TN,35.5175,-86.5804
42,Texas,Jane the Virgin,TX,31.9686,-99.9018
43,Utah,Stranger Things,UT,39.321,-111.0937
44,Vermont,Comedians in Cars Getting Coffee,VT,44.5588,-72.5778
45,Virginia,Daredevil,VA,37.4316,-78.6569
46,Washington,Altered Carbon,WA,47.7511,-120.7401
47,West Virginia,Orange Is the New Black,WV,38.5976,-80.4549
48,Wisconsin,Making a Murderer,WI,43.7844,-88.7879
49,Wyoming,Lost in Space,WY,43.076,-107.2903
