_id,Premiere,IMDB_rating
ObjectId("5e87adbfe54f58b791974400"),2012,8.3
ObjectId("5e87adbfe54f58b791974401"),2013,7.033333333333334
ObjectId("5e87adbfe54f58b791974402"),2014,5.133333333333334
ObjectId("5e87adbfe54f58b791974403"),2015,5.884615384615385
ObjectId("5e87adbfe54f58b791974404"),2016,6.429999999999999
ObjectId("5e87adbfe54f58b791974405"),2017,6.3342857142857145
ObjectId("5e87adbfe54f58b791974406"),2018,6.155844155844158
ObjectId("5e87adbfe54f58b791974407"),2019,6.321917808219177
ObjectId("5e87adbfe54f58b791974408"),2020,5.1
